ID,Age,Education,Occupation,Order,VR_Experience,Force_Feedback_Experience
1,25,Master's,EEE Graduate Student,A,No,No
2,21,Bachelor's,EEE Graduate Student,A,Limited,No
3,37,PhD,Teacher,B,No,No
4,22,Master's,EEE Graduate Student,B,No,No
5,22,Master's,EEE Graduate Student,A,No,No
6,22,Master's,EEE Graduate Student,A,No,No
7,23,Master's,EEE Graduate Student,B,No,No
8,22,Master's,EEE Graduate Student,B,No,No
9,24,Master's,EEE Graduate Student,B,No,No
10,31,PhD,ME Graduate Student,B,Limited,No
11,23,Master's,EEE Graduate Student,A,No,No
12,23,Master's,EEE Graduate Student,B,No,No
13,24,Master's,EEE Graduate Student,A,Limited,No
14,23,Master's,EEE Graduate Student,B,No,No
15,22,Master's,EEE Graduate Student,A,No,No
16,24,Master's,EEE Graduate Student,B,No,No
17,24,Master's,EEE Graduate Student,B,Limited,No
18,19,High school,EEE Graduate Student,A,No,No
19,24,Master's,EEE Graduate Student,A,Limited,No
20,24,Master's,EEE Graduate Student,A,No,No
21,21,Bachelor's,EEE Graduate Student,B,Limited,No
22,23,High school,EEE Graduate Student,A,No,No
23,21,Bachelor's,EEE Graduate Student,B,No,No
24,20,High school,EEE Graduate Student,A,No,No