ID,1. How old are you?,3. What is your highest degree or level of education?,4. What is your occupation?,5. Do you have VR experience?,6. Do you have force feedback glove experience?
1,25,Bachlor,EEE Graduate Student,No,No
2,25,Bachlor,EEE Graduate Student,No,No
3,26,Bachlor,EEE Graduate Student,No,No
4,23,Bachlor,EEE Graduate Student,No,No
5,24,Bachlor,EEE Graduate Student,Little,No
6,23,Bachlor,EEE Graduate Student,Little,No
7,25,Bachlor,EEE Graduate Student,No,No
8,23,Bachlor,EEE Graduate Student,Little,No
9,24,Bachlor,EEE Graduate Student,No,No
10,23,Bachlor,EEE Graduate Student,Little,No
11,22,Bachlor,EEE Graduate Student,No,No
12,22,Bachlor,EEE Graduate Student,No,No
13,22,Bachlor,EEE Graduate Student,No,No
14,23,Bachlor,EEE Graduate Student,No,No
15,22,Bachlor,EEE Graduate Student,No,No
16,21,Bachlor,EEE Graduate Student,Some,No
17,24,Bachlor,EEE Graduate Student,No,No
18,22,Bachlor,EEE Graduate Student,Little,No
19,22,Bachlor,EEE Graduate Student,No,No
20,23,Bachlor,EEE Graduate Student,Little,No
21,31,Master,ME Graduate Student,Little,No
22,24,Bachlor,EEE Graduate Student,Little,No
23,24,Bachlor,EEE Graduate Student,Little,No
24,23,Bachlor,EEE Graduate Student,No,No
25,23,Bachlor,EEE Graduate Student,Little,No
26,18,High School,EEE Undergraduate Student,No,No
27,18,High School,EEE Undergraduate Student,Some,No
28,18,High School,EEE Undergraduate Student,Little,No
29,17,High School,EEE Undergraduate Student,No,No
30,18,High School,EEE Undergraduate Student,No,No
31,19,High School,EEE Undergraduate Student,No,No
32,18,High School,EEE Undergraduate Student,No,No
33,41,Bachlor,Nurse,Little,No
34,24,Bachlor,Nurse,No,No
35,27,Bachlor,Nurse,No,No
36,28,Bachlor,Nurse,No,No
37,22,Bachlor,Nurse,No,No
38,20,Bachlor,Nurse,No,No
39,21,Bachlor,Nurse,Little,No
40,21,Bachlor,Nurse,Little,No
41,25,Bachlor,Nurse,No,No
42,22,Bachlor,Nurse,No,No
43,41,Bachlor,Nurse,No,No
44,34,Bachlor,Nurse,No,No
45,48,Bachlor,Nurse,No,No
46,44,Bachlor,Nurse,No,No
47,27,Bachlor,Nurse,No,No
48,26,Bachlor,Nurse,Little,No
49,22,Bachlor,Nurse,Little,No
50,39,Bachlor,Nurse,No,No
51,33,Bachlor,Nurse,No,No
52,38,Bachlor,Nurse,No,No 