ID,1. Mental Demand (0-100),2. Physical Demand (0-100),3. Temporal Demand (0-100),4. Effort (0-100),5. Frustration (0-100),6. Performance (0-100),7. Performance vs. Mental Demand,8. Mental Demand vs. Effort,9. Performance vs. Frustration,10. Temporal Demand vs. Frustration,11. Effort vs. Mental Demand,12. Frustration vs. Mental Demand,13. Performance vs. Temporal Demand,14. Physical Demand vs. Frustration,15. Temporal Demand vs. Mental Demand,16. Mental Demand vs. Physical Demand,17. Physical Demand vs. Performance,18. Frustration vs. Effort,19. Physical Demand vs. Temporal Demand,20. Temporal Demand vs. Effort,21. Effort vs. Performance
1,70.0,84.0,72.0,66.0,69.0,69.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Frustration,Physical Demand,Temporal Demand,Performance
2,60.0,74.0,45.0,72.0,80.0,37.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Performance
3,40.0,61.0,60.0,39.0,60.0,60.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Frustration,Physical Demand,Effort,Effort
4,60.0,73.0,73.0,70.0,63.0,63.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Frustration,Temporal Demand,Effort,Effort
5,2.0,25.0,50.0,100.0,24.0,53.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Performance,Effort,Temporal Demand,Temporal Demand,Effort
6,39.0,65.0,82.0,39.0,23.0,60.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Frustration,Temporal Demand,Effort,Effort
7,28.0,53.0,35.0,44.0,31.0,29.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Performance
8,58.0,45.0,61.0,72.0,48.0,75.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Temporal Demand,Physical Demand,Performance,Effort,Physical Demand,Temporal Demand,Effort
9,75.0,85.0,20.0,70.0,80.0,60.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Temporal Demand,Mental Demand,Physical Demand,Frustration,Physical Demand,Temporal Demand,Effort
10,16.0,35.0,19.0,9.0,6.0,73.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Effort,Effort
11,21.0,60.0,42.0,58.0,60.0,80.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Performance,Effort,Physical Demand,Effort,Effort
12,10.0,40.0,60.0,60.0,9.0,79.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Effort,Performance
13,21.0,78.0,60.0,61.0,40.0,79.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Frustration,Physical Demand,Temporal Demand,Effort
14,62.0,86.0,60.0,79.0,21.0,60.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Frustration,Physical Demand,Effort,Effort
15,10.0,80.0,30.0,100.0,30.0,50.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Frustration,Physical Demand,Effort,Effort
16,18.0,44.0,7.0,29.0,4.0,61.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Performance,Frustration,Temporal Demand,Temporal Demand,Effort
17,21.0,40.0,50.0,30.0,40.0,69.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Temporal Demand,Mental Demand,Performance,Effort,Physical Demand,Temporal Demand,Effort
18,61.0,72.0,44.0,78.0,64.0,60.0,Performance,Mental Demand,Performance,Temporal Demand,Physical Demand,Mental Demand,Performance,Physical Demand,Temporal Demand,Mental Demand,Performance,Frustration,Physical Demand,Temporal Demand,Performance
19,20.0,41.0,21.0,60.0,61.0,78.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Performance,Effort,Physical Demand,Temporal Demand,Performance
20,22.0,76.0,33.0,51.0,23.0,51.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Frustration,Physical Demand,Temporal Demand,Effort
21,39.0,81.0,24.0,72.0,69.0,60.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Performance
22,21.0,58.0,55.0,60.0,9.0,70.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Performance,Effort,Physical Demand,Effort,Effort
23,1.0,20.0,1.0,40.0,1.0,99.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Temporal Demand,Mental Demand,Physical Demand,Frustration,Physical Demand,Temporal Demand,Performance
24,7.0,51.0,59.0,41.0,21.0,79.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Performance,Effort,Physical Demand,Temporal Demand,Effort
25,19.0,59.0,15.0,46.0,29.0,67.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Performance,Frustration,Physical Demand,Effort,Effort
26,31.0,59.0,50.0,59.0,40.0,60.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Performance,Effort,Physical Demand,Effort,Effort
27,27.0,61.0,56.0,59.0,31.0,61.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Temporal Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
28,40.0,78.0,25.0,70.0,15.0,66.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Temporal Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Performance
29,22.0,21.0,21.0,21.0,4.0,79.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Temporal Demand,Physical Demand,Performance,Effort,Physical Demand,Temporal Demand,Effort
30,33.0,60.0,20.0,57.0,11.0,60.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Temporal Demand,Mental Demand,Physical Demand,Frustration,Physical Demand,Temporal Demand,Performance
31,31.0,59.0,68.0,45.0,27.0,61.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Frustration,Physical Demand,Temporal Demand,Effort
32,50.0,60.0,19.0,66.0,31.0,51.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Temporal Demand,Physical Demand,Physical Demand,Frustration,Physical Demand,Temporal Demand,Effort
33,40.0,79.0,40.0,60.0,59.0,40.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Effort,Effort
34,40.0,60.0,60.0,80.0,60.0,80.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Frustration,Physical Demand,Effort,Effort
35,22.0,75.0,31.0,52.0,23.0,54.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Temporal Demand,Mental Demand,Physical Demand,Frustration,Physical Demand,Effort,Effort
36,40.0,77.0,39.0,79.0,22.0,60.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Temporal Demand,Mental Demand,Performance,Frustration,Physical Demand,Temporal Demand,Effort
37,44.0,65.0,26.0,48.0,13.0,56.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Effort,Effort
38,61.0,78.0,64.0,68.0,44.0,78.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Effort,Performance
39,24.0,58.0,54.0,71.0,43.0,39.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Frustration,Physical Demand,Temporal Demand,Effort
40,19.0,22.0,42.0,42.0,42.0,63.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Physical Demand,Performance,Frustration,Physical Demand,Temporal Demand,Effort
41,23.0,40.0,21.0,22.0,10.0,72.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Effort,Performance
42,20.0,29.0,21.0,29.0,13.0,69.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Effort,Performance
43,77.0,60.0,41.0,76.0,21.0,59.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Performance,Effort,Physical Demand,Effort,Effort
44,52.0,87.0,15.0,96.0,17.0,20.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Temporal Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Performance
45,20.0,60.0,51.0,58.0,56.0,63.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Performance,Effort,Physical Demand,Effort,Effort
46,21.0,23.0,34.0,28.0,36.0,84.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Temporal Demand,Physical Demand,Performance,Frustration,Physical Demand,Effort,Effort
47,27.0,30.0,36.0,40.0,29.0,60.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Temporal Demand,Physical Demand,Performance,Effort,Physical Demand,Temporal Demand,Effort
48,81.0,87.0,63.0,85.0,70.0,100.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Temporal Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
49,60.0,79.0,50.0,60.0,61.0,60.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Performance
50,38.0,81.0,50.0,54.0,14.0,88.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
51,83.0,42.0,66.0,99.0,64.0,62.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Effort,Effort
52,21.0,41.0,23.0,39.0,23.0,78.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Performance,Effort,Physical Demand,Temporal Demand,Effort 